text,amount,result
Ищу квартиру для семьи из четырех человек на длительный срок,4,4
Нужна студия для проживания одного человека рядом с метро,1,1
Требуется двухкомнатная квартира для молодой пары,2,2
Снимем жилье для троих студентов на учебный год,3,3
Семья с двумя детьми ищет просторную квартиру,4,4
Ищу жилье для одного студента неподалеку от университета,1,1
Пара ищет квартиру с двумя спальнями,2,2
Четверо коллег хотят снять квартиру на год,4,4
Необходимо жилье для молодой семьи с тремя детьми,5,5
Ищу комнату для одного человека в центре города,1,1
Семья из двух взрослых и одного ребенка нуждается в двухкомнатной квартире,3,4
